Cluster,HHID,UrbanRural,ComputerAccess,MobileAccess,InternetAccess,hhweight
1,1,1,2,2,2,0.877007203
1,2,1,1,1,1,0.877007203
1,3,1,2,1,1,0.877007203
1,4,1,2,1,1,0.877007203
1,5,1,2,1,1,0.877007203
1,6,1,NA,NA,NA,0
1,7,1,1,1,1,0.877007203
1,8,1,1,1,1,0.877007203
1,9,1,1,1,1,0.877007203
1,10,1,1,1,1,0.877007203
1,11,1,1,1,1,0.877007203
1,12,1,1,1,1,1.155166638
1,13,1,1,1,1,0.877007203
1,14,1,NA,NA,NA,0
1,15,1,1,1,1,0.877007203
1,16,1,2,1,1,0.749886201
1,17,1,2,1,2,0.877007203
1,18,1,1,1,1,0.877007203
1,19,1,1,1,1,0.877007203
1,20,1,1,1,1,0.877007203
2,1,1,2,1,1,0.626953843
2,2,1,2,1,1,1.011586604
2,3,1,2,1,1,1.011586604
2,4,1,1,1,1,0.768000658
2,5,1,2,1,1,0.656680007
2,6,1,1,1,1,1.011586604
2,7,1,2,1,1,0.626953843
2,8,1,1,1,1,0.768000658
2,9,1,2,1,1,1.011586604
2,10,1,NA,NA,NA,0
2,11,1,2,1,1,0.656680007
2,12,1,1,1,1,0.768000658
2,13,1,2,1,2,0.768000658
2,14,1,2,1,1,0.656680007
2,15,1,1,1,1,0.768000658
2,16,1,1,1,1,0.768000658
2,17,1,1,1,1,0.768000658
2,18,1,1,1,1,0.768000658
2,19,1,2,1,1,0.768000658
2,20,1,2,1,2,0.626953843
3,1,1,NA,NA,NA,0
3,2,1,NA,NA,NA,0
3,3,1,1,1,1,0.772152013
3,4,1,2,1,1,0.772152013
3,5,1,1,1,1,0.772152013
3,6,1,2,1,1,0.772152013
3,7,1,2,1,2,0.772152013
3,8,1,2,1,1,1.01705464
3,9,1,1,1,1,0.772152013
3,10,1,1,1,1,0.772152013
3,11,1,1,1,1,1.305178004
3,12,1,1,1,1,1.01705464
3,13,1,1,1,1,0.660229629
3,14,1,1,1,1,0.772152013
3,15,1,1,1,1,0.660229629
3,16,1,1,1,1,0.772152013
3,17,1,1,1,1,0.772152013
3,18,1,1,1,1,0.772152013
3,19,1,1,1,1,1.01705464
3,20,1,NA,NA,NA,0
4,1,1,2,1,1,0.916619163
4,2,1,1,1,1,0.916619163
4,3,1,1,1,1,1.207342282
4,4,1,2,1,1,0.916619163
4,5,1,1,1,1,0.916619163
4,6,1,1,1,1,1.207342282
4,7,1,2,1,1,0.916619163
4,8,1,2,1,1,0.916619163
4,9,1,1,1,1,0.916619163
4,10,1,2,1,1,0.916619163
4,11,1,NA,NA,NA,0
4,12,1,1,1,1,0.916619163
4,13,1,NA,NA,NA,0
4,14,1,1,1,1,0.916619163
4,15,1,1,1,1,0.916619163
4,16,1,1,1,1,1.207342282
4,17,1,1,1,1,1.207342282
4,18,1,NA,NA,NA,0
4,19,1,1,1,1,1.207342282
4,20,1,1,1,1,1.207342282
5,1,1,2,1,1,0.87627616
5,2,1,1,1,1,0.87627616
5,3,1,1,1,1,0.87627616
5,4,1,NA,NA,NA,0
5,5,1,1,1,1,1.154203732
5,6,1,NA,NA,NA,0
5,7,1,NA,NA,NA,0
5,8,1,1,1,1,0.87627616
5,9,1,1,1,1,1.154203732
5,10,1,1,1,1,0.87627616
5,11,1,1,1,1,0.87627616
5,12,1,NA,NA,NA,0
5,13,1,1,1,1,0.87627616
5,14,1,1,1,1,1.154203732
5,15,1,NA,NA,NA,0
5,16,1,1,1,1,1.154203732
5,17,1,NA,NA,NA,0
5,18,1,1,1,1,1.154203732
5,19,1,1,1,1,1.154203732
5,20,1,1,1,1,0.87627616
6,1,1,1,1,2,0.724114906
6,2,1,1,1,1,0.724114906
6,3,1,1,1,1,0.953781655
6,4,1,1,1,1,0.724114906
6,5,1,1,1,1,0.953781655
6,6,1,2,1,2,0.619155435
6,7,1,1,1,1,0.724114906
6,8,1,1,1,1,0.953781655
6,9,1,2,1,1,0.724114906
6,10,1,1,1,1,1.223980294
6,11,1,1,1,1,0.724114906
6,12,1,2,1,1,0.724114906
6,13,1,1,1,1,0.724114906
6,14,1,1,1,1,0.724114906
6,15,1,1,1,1,0.724114906
6,16,1,1,1,1,0.724114906
6,17,1,1,1,1,0.724114906
6,18,1,1,1,1,0.724114906
6,19,1,1,1,1,0.724114906
6,20,1,NA,NA,NA,0
7,1,1,1,1,1,1.549462657
7,2,1,1,1,1,0.916672443
7,3,1,1,1,1,0.916672443
7,4,1,1,1,1,1.20741246
7,5,1,1,1,1,1.20741246
7,6,1,1,1,1,0.783802019
7,7,1,2,1,1,1.549462657
7,8,1,1,1,1,1.20741246
7,9,1,2,2,2,0.916672443
7,10,1,1,1,1,1.20741246
7,11,1,2,2,1,0.916672443
7,12,1,2,1,1,0.916672443
7,13,1,2,1,1,0.748321378
7,14,1,1,1,1,1.20741246
7,15,1,1,1,1,0.916672443
7,16,1,NA,NA,NA,0
7,17,1,1,1,1,0.916672443
7,18,1,1,1,1,1.549462657
7,19,1,1,1,1,0.916672443
7,20,1,NA,NA,NA,0
8,1,1,2,1,2,1.213903925
8,2,1,NA,NA,NA,0
8,3,1,1,1,1,1.213903925
8,4,1,1,1,1,1.557793101
8,5,1,1,1,1,1.557793101
8,6,1,1,1,1,1.557793101
8,7,1,NA,NA,NA,0
8,8,1,2,1,1,0.921600789
8,9,1,1,2,1,1.213903925
8,10,1,1,1,1,1.213903925
8,11,1,1,1,1,0.921600789
8,12,1,1,1,1,1.213903925
8,13,1,1,1,1,1.213903925
8,14,1,1,1,1,0.921600789
8,15,1,1,1,1,0.921600789
8,16,1,1,1,1,1.557793101
8,17,1,NA,NA,NA,0
8,18,1,1,1,1,1.213903925
8,19,1,1,1,1,1.213903925
8,20,1,NA,NA,NA,0
9,1,1,2,2,1,1.213903925
9,2,1,1,1,1,0.921600789
9,3,1,NA,NA,NA,0
9,4,1,1,1,1,1.213903925
9,5,1,1,1,1,0.921600789
9,6,1,1,1,1,1.213903925
9,7,1,1,1,1,1.213903925
9,8,1,1,1,1,1.557793101
9,9,1,1,1,1,1.213903925
9,10,1,NA,NA,NA,0
9,11,1,1,1,1,1.213903925
9,12,1,1,1,1,1.213903925
9,13,1,1,1,1,1.213903925
9,14,1,2,1,1,0.921600789
9,15,1,1,1,1,1.213903925
9,16,1,1,1,1,1.557793101
9,17,1,1,1,1,1.557793101
9,18,1,NA,NA,NA,0
9,19,1,1,1,1,1.213903925
9,20,1,NA,NA,NA,0
10,1,1,1,1,1,0.908800778
10,2,1,1,1,1,0.908800778
10,3,1,2,1,1,0.908800778
10,4,1,1,1,1,0.908800778
10,5,1,1,1,1,0.908800778
10,6,1,1,1,1,0.908800778
10,7,1,1,1,1,1.536157086
10,8,1,1,1,1,1.536157086
10,9,1,1,1,1,1.197044148
10,10,1,1,1,1,0.908800778
10,11,1,1,1,1,0.908800778
10,12,1,1,1,1,0.908800778
10,13,1,1,1,1,1.536157086
10,14,1,1,1,1,1.197044148
10,15,1,1,1,1,0.908800778
10,16,1,1,1,1,0.908800778
10,17,1,2,1,1,0.908800778
10,18,1,1,1,1,1.536157086
10,19,1,1,1,1,1.536157086
10,20,1,1,1,1,1.536157086
11,1,1,2,1,1,0.762514939
11,2,1,1,1,1,0.762514939
11,3,1,2,1,1,0.651989435
11,4,1,1,1,1,0.762514939
11,5,1,1,1,1,0.762514939
11,6,1,2,1,1,0.762514939
11,7,1,1,1,1,1.004360985
11,8,1,1,1,1,0.762514939
11,9,1,1,1,1,0.762514939
11,10,1,1,1,1,0.762514939
11,11,1,1,1,1,0.762514939
11,12,1,1,1,1,1.004360985
11,13,1,NA,NA,NA,0
11,14,1,NA,NA,NA,0
11,15,1,1,1,1,0.762514939
11,16,1,1,1,1,1.004360985
11,17,1,NA,NA,NA,0
11,18,1,2,1,1,0.762514939
11,19,1,NA,NA,NA,0
11,20,1,1,1,1,0.762514939
12,1,1,2,1,1,0.771413994
12,2,1,1,1,1,1.016082544
12,3,1,1,1,1,0.771413994
12,4,1,1,1,1,0.771413994
12,5,1,2,1,2,0.659598585
12,6,1,2,1,1,0.771413994
12,7,1,1,1,1,0.771413994
12,8,1,2,1,1,0.771413994
12,9,1,1,1,1,0.771413994
12,10,1,NA,NA,NA,0
12,11,1,2,1,1,0.659598585
12,12,1,1,1,1,1.016082544
12,13,1,NA,NA,NA,0
12,14,1,1,2,2,0.771413994
12,15,1,1,1,1,0.659598585
12,16,1,1,1,1,0.771413994
12,17,1,2,1,1,0.771413994
12,18,1,NA,NA,NA,0
12,19,1,1,1,1,0.771413994
12,20,1,1,1,1,1.016082544
13,1,1,NA,NA,NA,0
13,2,1,1,1,1,0.801391991
13,3,1,1,1,1,0.801391991
13,4,1,2,1,1,0.654212706
13,5,1,2,1,1,0.801391991
13,6,1,1,1,1,0.801391991
13,7,1,2,1,1,0.801391991
13,8,1,NA,NA,NA,0
13,9,1,1,1,1,0.801391991
13,10,1,1,1,1,0.801391991
13,11,1,1,1,1,0.801391991
13,12,1,2,1,1,0.801391991
13,13,1,2,1,1,0.685231312
13,14,1,1,1,1,0.801391991
13,15,1,1,1,1,1.05556863
13,16,1,2,1,1,0.801391991
13,17,1,1,1,1,0.801391991
13,18,1,1,1,1,0.801391991
13,19,1,1,1,1,1.05556863
13,20,1,2,2,2,0.685231312
14,1,1,2,1,1,1.281973304
14,2,1,NA,NA,NA,0
14,3,1,2,1,1,0.973279338
14,4,1,1,1,1,0.973279338
14,5,1,1,1,1,1.281973304
14,6,1,1,1,1,1.645145985
