Cluster,HHID,HHMemberID,HHMemberGender,HHMemberAge
1,1,1,2,74
1,1,2,2,65
1,2,1,1,63
1,2,2,2,62
1,2,3,2,36
1,2,4,1,10
1,3,1,1,61
1,3,2,2,61
1,3,3,1,24
1,4,1,2,54
1,4,2,2,24
1,4,3,1,27
1,4,4,1,4
1,4,5,2,3
1,4,6,2,2
1,5,1,2,68
1,7,1,2,63
1,7,2,1,61
1,8,1,2,72
1,8,2,2,51
1,8,3,1,41
1,8,4,1,5
1,9,1,2,54
1,9,2,1,56
1,9,3,1,30
1,9,4,2,29
1,9,5,1,5
1,10,1,1,68
1,10,2,2,66
1,10,3,1,42
1,10,4,2,35
1,10,5,1,12
1,10,6,1,4
1,11,1,1,77
1,11,2,2,70
1,11,3,1,47
1,11,4,2,48
1,11,5,2,21
1,11,6,1,12
1,12,1,1,46
1,12,2,2,44
1,12,3,1,20
1,12,4,2,13
1,13,1,1,64
1,13,2,2,63
1,13,3,2,32
1,13,4,1,28
1,13,5,1,33
1,13,6,2,27
1,13,7,1,3
1,13,8,2,1
1,15,1,1,60
1,15,2,2,60
1,16,1,1,87
1,16,2,2,83
1,16,3,2,62
1,16,4,2,47
1,17,1,1,72
1,17,2,2,69
1,18,1,1,50
1,18,2,2,44
1,18,3,2,22
1,19,1,2,60
1,19,2,2,34
1,19,3,1,36
1,19,4,1,3
1,20,1,2,72
1,20,2,1,42
1,20,3,2,33
1,20,4,2,8
1,20,5,1,4
2,1,1,2,49
2,1,2,1,55
2,1,3,2,28
2,1,4,2,9
2,2,1,1,36
2,2,2,2,35
2,2,3,2,10
2,2,4,2,5
2,2,5,1,0
2,3,1,1,45
2,4,1,1,71
2,4,2,2,55
2,4,3,2,21
2,4,4,2,19
2,5,1,2,83
2,5,2,1,45
2,6,1,2,41
2,6,2,1,41
2,6,3,1,18
2,6,4,1,8
2,7,1,1,44
2,7,2,2,40
2,7,3,2,64
2,8,1,1,59
2,8,2,2,62
2,8,3,1,36
2,8,4,2,35
2,8,5,2,5
2,8,6,2,2
2,8,7,1,30
2,8,8,2,30
2,8,9,2,85
2,9,1,1,46
2,9,2,2,43
2,9,3,1,18
2,9,4,2,16
2,11,1,1,61
2,11,2,2,60
2,12,1,1,68
2,12,2,2,67
2,12,3,1,39
2,12,4,1,37
2,12,5,2,36
2,12,6,2,6
2,12,7,2,2
2,13,1,1,76
2,13,2,2,72
2,14,1,1,73
2,14,2,2,45
2,14,3,1,40
2,14,4,2,37
