Cluster,HHID,HHMemberID,Education,HealthInsurance,Parent,ComputerEver,Computer3M,InternetEver,Internet3M,MobileOwn,MobileUse,weight,Gender,nr of interviewd,Final weight
1,2,3,5,1,1,1,3,NA,3,1,3,0.772162788,Female,14,10.81027903
1,3,3,5,1,2,1,3,NA,3,1,3,1.296972348,Male,6,7.781834086
1,4,2,2,1,1,2,NA,1,3,1,3,1.093367351,Female,14,15.30714291
1,9,3,3,1,1,1,0,1,2,1,3,0.767972491,Male,6,4.607834947
1,9,4,5,1,1,1,3,NA,3,1,3,0.894177148,Female,14,12.51848007
1,10,4,5,1,1,2,NA,1,3,1,3,0.772162788,Female,14,10.81027903
1,11,3,3,1,1,1,2,NA,3,1,3,0.750508577,Male,6,4.503051462
1,11,4,5,1,1,1,3,1,3,1,3,0.80948236,Female,14,11.33275304
1,11,5,5,1,2,1,3,NA,3,1,3,1.223282843,Female,14,17.1259598
1,12,2,5,1,1,1,3,NA,3,1,3,1.066225013,Female,14,14.92715018
1,13,3,4,1,1,1,3,NA,3,1,3,0.74387164,Female,14,10.41420296
1,13,4,5,1,1,1,3,NA,3,1,3,0.965686962,Male,6,5.794121774
1,13,5,2,2,1,1,2,1,3,1,3,0.767972491,Male,6,4.607834947
1,13,6,5,1,1,1,3,NA,3,1,3,0.894177148,Female,14,12.51848007
1,16,4,3,1,2,1,0,1,2,1,2,0.933702412,Female,14,13.07183376
1,18,2,3,1,1,2,NA,1,3,1,2,0.80948236,Female,14,11.33275304
1,18,3,5,1,2,1,3,NA,3,1,3,1.223282843,Female,14,17.1259598
1,19,2,5,1,1,1,3,NA,3,1,3,0.74387164,Female,14,10.41420296
1,19,3,5,1,1,1,3,NA,3,1,3,0.740412284,Male,6,4.442473707
1,20,3,5,1,1,1,3,NA,3,1,3,0.74387164,Female,14,10.41420296
2,1,1,1,1,1,2,NA,1,1,1,3,0.578681765,Female,21,12.15231707
2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,21,0
2,2,2,4,1,1,2,NA,1,3,1,3,0.890653497,Female,21,18.70372344
2,3,1,3,2,2,1,0,1,3,1,3,1.098566221,Male,7,7.68996355
2,4,3,5,2,2,1,3,NA,3,1,3,1.071236388,Female,21,22.49596414
2,4,4,5,2,2,1,3,NA,3,1,3,0.8767369,Female,21,18.41147491
2,5,2,2,1,1,2,NA,1,3,1,3,0.561961152,Male,7,3.933728061
2,6,1,2,1,1,2,NA,1,3,1,3,0.93369987,Female,21,19.60769727
2,7,1,2,2,1,2,NA,1,1,1,3,0.536522659,Male,7,3.755658614
2,7,2,2,1,1,2,NA,1,3,1,3,0.578681765,Female,21,12.15231707
2,8,4,5,1,1,1,3,NA,3,1,3,0.676187752,Female,21,14.19994279
2,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,21,0
2,9,1,3,1,1,1,2,NA,2,1,3,0.865676383,Male,7,6.059734678
2,9,2,1,1,1,2,NA,2,NA,1,3,0.93369987,Female,21,19.60769727
2,9,3,3,2,2,1,2,NA,3,1,3,1.184851251,Male,7,8.293958756
2,9,4,3,1,2,1,2,1,3,1,3,1.154810604,Female,21,24.25102269
2,12,5,5,1,1,1,3,NA,3,1,3,0.676187752,Female,21,14.19994279
